iter	RMSE
0	50.90508385
1	49.4300436
2	48.1390813
3	47.03736218
4	46.01527518
5	45.1234269
6	44.3465032
7	43.67577405
8	42.99369607
9	42.42636802
10	41.89918917
11	41.4396314
12	41.01605016
13	40.65740074
14	40.30555558
15	39.98974518
16	39.68456843
17	39.39852461
18	39.1936343
19	38.97312185
20	38.74406337
21	38.48817878
22	38.27656748
23	38.07825144
24	37.89435353
25	37.71051556
26	37.55608093
27	37.42467044
28	37.29933423
29	37.10096656
30	36.97661541
31	36.82579434
32	36.65409601
33	36.54808341
34	36.44403055
35	36.32653718
36	36.21890195
37	36.12654863
38	36.03844268
39	35.96429616
40	35.88544016
41	35.79240368
42	35.68744816
43	35.61922091
44	35.55019885
45	35.43654219
46	35.37972422
47	35.33594243
48	35.26166483
49	35.18129038
50	35.0443218
51	34.95095453
52	34.85590245
53	34.76687555
54	34.70500617
55	34.66379687
56	34.62963053
57	34.58779854
58	34.54715445
59	34.50715612
60	34.45526229
61	34.40405037
62	34.28816873
63	34.25049558
64	34.17322542
65	34.1236976
66	34.05965133
67	33.92209837
68	33.87070213
69	33.81678168
70	33.74341347
71	33.65540272
72	33.58033178
73	33.5378473
74	33.48565898
75	33.43861326
76	33.39769759
77	33.31519001
78	33.20198955
79	33.16956576
80	33.1026979
81	33.0411545
82	32.97246329
83	32.91069214
84	32.8121008
85	32.77601357
86	32.68116679
87	32.64089605
88	32.59124864
89	32.53033122
90	32.49728802
91	32.43540219
92	32.40358544
93	32.340026
94	32.30332525
95	32.27258761
96	32.20664128
97	32.16454148
98	32.11295147
99	32.03426844
100	31.93399911
101	31.87503849
102	31.79724718
103	31.75035111
104	31.69807465
105	31.6664437
106	31.59305648
107	31.5406401
108	31.49282922
109	31.46976191
110	31.40405332
111	31.30936271
112	31.23940042
113	31.17161565
114	31.1218745
115	31.08543281
116	31.02440722
117	30.97577599
118	30.93257104
119	30.88940436
120	30.84153929
121	30.76737182
122	30.70007952
123	30.61204195
124	30.57282488
125	30.51547779
126	30.47614682
127	30.43512166
128	30.40507262
129	30.34645908
130	30.30351017
131	30.26873177
132	30.23277508
133	30.16670542
134	30.11519764
135	30.04491309
136	29.96573188
137	29.90341937
138	29.84112529
139	29.77593793
140	29.71248925
141	29.67797566
142	29.63928081
143	29.56728468
144	29.52973389
145	29.47965932
146	29.44418812
147	29.4037242
148	29.34658724
149	29.26442028
