iter	Passed	Remaining
0	721	107446
1	1296	95961
2	1805	88483
3	2270	82881
4	2654	76989
5	3037	72900
6	3418	69829
7	3807	67574
8	4203	65857
9	4610	64553
10	4988	63030
11	5344	61456
12	5707	60153
13	6074	59005
14	6440	57966
15	6810	57039
16	7183	56198
17	7563	55462
18	7928	54668
19	8290	53888
20	8667	53245
21	9045	52630
22	9430	52072
23	9914	52050
24	10441	52206
25	10987	52402
26	11505	52414
27	11994	52261
28	12463	52003
29	12948	51793
30	13385	51382
31	13754	50719
32	14124	50079
33	14493	49447
34	14859	48823
35	15222	48205
36	15601	47646
37	15975	47084
38	16330	46480
39	16690	45899
40	17064	45366
41	17438	44840
42	17810	44319
43	18182	43802
44	18545	43272
45	18911	42755
46	19280	42253
47	19643	41741
48	20008	41242
49	20369	40739
50	20747	40275
51	21103	39772
52	21464	39284
53	21836	38819
54	22203	38351
55	22669	38052
56	23202	37857
57	23733	37645
58	24239	37386
59	24704	37056
60	25089	36606
61	25466	36146
62	25841	35686
63	26225	35241
64	26620	34810
65	27001	34365
66	27388	33929
67	27775	33493
68	28138	33032
69	28507	32579
70	28867	32120
71	29234	31670
72	29598	31220
73	29959	30769
74	30333	30333
75	30703	29895
76	31078	29463
77	31479	29057
78	31872	28645
79	32253	28221
80	32626	27793
81	32987	27355
82	33354	26924
83	33738	26508
84	34110	26084
85	34481	25660
86	34861	25244
87	35233	24823
88	35608	24405
89	35959	23973
90	36334	23557
91	36722	23151
92	37208	22805
93	37688	22452
94	38139	22080
95	38570	21695
96	39003	21311
97	39461	20938
98	39907	20558
99	40346	20173
100	40725	19757
101	41146	19363
102	41558	18963
103	41965	18561
104	42390	18167
105	42791	17762
106	43186	17355
107	43596	16954
108	43972	16540
109	44335	16121
110	44716	15711
111	45079	15294
112	45459	14884
113	45841	14476
114	46221	14067
115	46595	13657
116	46980	13250
117	47372	12846
118	47764	12442
119	48138	12034
120	48498	11623
121	48872	11216
122	49286	10819
123	49680	10416
124	50059	10011
125	50429	9605
126	50824	9204
127	51249	8808
128	51655	8408
129	52020	8003
130	52395	7599
131	52761	7194
132	53144	6792
133	53524	6390
134	53892	5988
135	54269	5586
136	54646	5185
137	55028	4785
138	55424	4386
139	55791	3985
140	56174	3585
141	56551	3186
142	56933	2786
143	57308	2387
144	57687	1989
145	58062	1590
146	58448	1192
147	58948	796
148	59454	399
149	59973	0
